{INF,7816436373571194,696282361647529,7816436373571194,9061717176854322,10020029275157985,6197476383590935,10749177759631169,8957469419087379,8619803396592808,8777612809978848,4683809416196776,1405511309990668,12685404715685377,9148497744321836,9134488493590341,8873854665364478,6815408663273269,8904650302933533,12231300445754098,8467568562477574,7483265400811318,63878820799360724,10234127790112805,6813785294547026,12691101259834907,1306849035637515,5875760490908973,10030886353539383,10078115983997724,8573156558613906,10134900696039195,12012560133898438,8064136685693904,9350605348400586,9923628710212093,1007199787937232,9012115506335891,9571524581356621,10077425113349932,1152891968425332,6054830777968431,818942799008491,11255197735067613,6800331834873535,755441840317426,7879544725660779,9758798294890025,7252225218439723,5860841648736999},
{7816436373571194,INF,940754460649613,8708900049723252,10055923165220722,9330408779841719,1096092188185647,9051158490411503,7535653078566787,5184010574320512,9147495979250581,7630982878471191,11850993480572814,11815034892872157,13371126173554438,11845061075105042,14535663160526326,66385653551351,13005375343834496,12347503477942172,11163590580152795,7984422341977952,10140934139554018,12874109881666618,7456104221504954,13954899248202346,13572721022090417,10603192588945572,9301248074086814,10168382750679878,9900991424077604,11815034892872157,9330408779841719,8504000796940872,1083131037401498,10068920343684354,7121456719902494,3566029217904432,9931123436344443,8928156615216625,10651839732426251,7752591527341593,1280555681845778,5491365492798981,12552347168884998,8801393113399205,1215240674968658,8121232921917307,15600845793951493,9960647857410692},
{696282361647529,940754460649613,INF,12978410745030848,935077398487921,848020304192963,9986097272118845,6512252615138684,891837670375252,932190579383998,7045898670774724,10178191059707221,9777857703011146,6960610803799722,11568741742144276,8639554991277808,14150300039397456,1409271254048227,1084755504488331,7991653528753105,959064543670354,11880709275243234,11120720466988769,1338914062344151,5269179082660598,9659350165473231,7739578090161675,931091166437042,8467568562477574,7981383850410083,7593786248122574,10218638749016894,5183227745751446,10704712312036257,7097883384380997,12792181626191285,13147412824981893,5836025504230211,11294161869712902,5269812420721432,10493749078897278,11411456493892588,12587666496727971,9273048195361476,1335692213655199,10430660523481458,7573890929262441,818942799008491,10367310622690974,10679129504839929},
{7816436373571194,8708900049723252,12978410745030848,INF,9955220970489258,11682832860754004,9394430310627904,9786988861847892,34101774681743805,11827547090538684,13333212058117186,13156552856394777,7981383850410083,8123408811975791,10775933858331912,1410716521953671,12968167238147674,10553112445150953,7119619456190006,14770820738472548,9237092089483853,7528775749806019,9821599982113214,11583677406401547,9347137093030211,9777857703011146,10830885170843621,972496050619698,10913129563037978,10980034826058517,12487288340039252,11951904840818285,1122559838618756,12672699190337823,51006953841905826,9406061494289668,9058062043505878,11416421399180855,12421015107851524,993285058965909,12162354843392592,12083054740956683,12066679111711258,10786752659567806,7246824822446426,12588895882533015,6476149550534412,878896716909218,9693622873037486,6503659715599613},
{9061717176854322,10055923165220722,935077398487921,9955220970489258,INF,4584760888160695,1275238846092332,12151642254479152,1162451727057999,7411737370085103,58306468095176456,1321574264880846,9526560237472026,10651765991275761,33195609542535735,8830253023208166,6579536634941059,6432242645382966,143076734263665,1105848170952603,7519906839594913,9046926654906297,14164860909083595,11914251550475862,12012560133898438,1166646542852998,10679129504839929,10224036970857459,6512593784541066,12172927171531134,8720285644057664,10234360702714584,1067385149143572,9003148519323366,9719696475131175,976627977586892,12655502412650084,10788618139945521,10652357770927635,740758014204123,5947756844428509,10509704226776017,10119060809015605,7695128769793735,9097883996797573,8433471908290582,7993371677580615,10023136046599056,7194199185886704,10557196509117912},
{10020029275157985,9330408779841719,848020304192963,11682832860754004,4584760888160695,INF,8777612809978848,8184073147669977,8306282800512497,11013680667498718,6579536634941059,6537201541831175,1381681183016572,8997535089771819,1168011090313447,13701962778610988,7522038778655853,7815927564340456,8223142407436114,6462150224660607,10666900728901403,7853255267738207,10276698454205999,11540218885527322,1793385535295527,8103957693790943,9418668849353298,1007781278052506,10201842933584308,10288724376340748,10913129563037978,11652503432754908,9343320507205956,895281878790022,10626325694831644,55490517652952505,1146001355369604,13574634908371044,12734541663760028,14966138088522047,940754460649613,14051513890390905,11551374086670816,13045603541943203,10753206096525176,8245013517561965,9180182788043068,9299064303012878,9216887197255268,9523850178839311},
{6197476383590935,1096092188185647,9986097272118845,9394430310627904,1275238846092332,8777612809978848,INF,7408088926932915,11797383343194275,10566703667651478,15070094315903276,8723987291212428,11702098134738227,7068367592438211,7039128547945936,5796914506480453,8875924679932636,14757708081002082,959064543670354,12846556625588948,7097686150043562,14434571456237342,1223811963657687,1495191515754203,11371844942175538,12839441905654218,8487070013017384,7611502592492629,6637512041907212,8716519709911285,8875924679932636,6523100345819356,10351856715766476,10560023028516018,1093936621324194,748390245180727,9209309505540995,13623483275716785,9146324620518416,7503059271392694,7591407726845523,958627379134901,14754057397569147,8233427715454292,11535934187878532,120613720340884,11392307181607859,14535663160526326,1043927257941651,5533237831821669},
{10749177759631169,9051158490411503,6512252615138684,9786988861847892,12151642254479152,8184073147669977,7408088926932915,INF,6286985137980443,18075407040687554,10138817170661005,7859832553636681,1116545959877485,10511164883392838,7677225678168017,9147495979250581,12513330826041741,6462150224660607,10168355271869014,18075407040687554,13176052816286142,14220834828907354,9463860861067855,13646476883570466,8283735524339666,11245022346222834,13092323574422446,12664508381177023,974715069868788,8112263882887457,8038646422601698,7344437254529194,10306919719492556,11729444445730746,7905261183931852,9868403238310376,9589798671361399,12997339954563085,13500800502003457,10166702332057122,5540969254634222,875641349538662,10790597336110494,995273612001649,6004753677668713,7944059701823542,10155282206476015,1043927257941651,9763148260930963,61198375578538574},
{8957469419087379,7535653078566787,891837670375252,34101774681743805,1162451727057999,8306282800512497,11797383343194275,6286985137980443,INF,7119619456190006,9918384018220343,11245711824612891,12240042576910929,6812468211821215,9159786647404147,6476149550534412,10676930550463996,5533196818755328,9307721304340672,9791353474440417,9324668004179695,11509545576490206,1173915207351741,10219239450210955,6958281968141499,818942799008491,1007781278052506,12334843373550841,7573890929262441,3368962735698615,10501257095954601,10566703667651478,9551010750967471,11237168307861404,7982328389403001,10699419388323912,14637119676500578,9902248792351536,8433471908290582,10831426159067685,8815136367786117,11812657085267617,8925503552282788,54024198033246996,10168549743109519,44121717422736154,7800715876624616,19468573140204938,7031161991764269,1275238846092332},
{8619803396592808,5184010574320512,932190579383998,11827547090538684,7411737370085103,11013680667498718,10566703667651478,18075407040687554,7119619456190006,INF,10719883036892425,11171150859317885,11375443312129259,8686477224400933,13328633493743024,11107092449031114,55270440571407256,13039509727242873,8294893576719983,16126284638171893,14347603892740148,16206261188168892,1007781278052506,9693622873037486,12169200637899638,11219403810573752,9033472678312319,1008510881613608,11992820472955003,7477032894459882,4638404561600924,11062915784708663,14021565383350065,11302601474783432,811057854982991,9057597780330228,7144178845640467,12417441885935779,1166094390440585,10320950878228778,1466547202305509,11888721023412795,883876586687995,9731706469360437,7767965386347677,7677225678168017,9621243078234059,6690632346820142,1028623363919261,1193314103915651},
